Rank,Player Name,Team,Position,Min,Max,STD Dev
62,Deshaun Watson,HOU,QB,64,71,2.28,
63,T.Y. Hilton,IND,WR,46,93,15.61,
64,Marquise Brown,BAL,WR,39,102,20.53,
65,DeVante Parker,MIA,WR,64,87,8.12,
66,Michael Gallup,DAL,WR,58,103,16.49,
67,Matt Ryan,ATL,QB,62,83,7.28,
68,Jordan Howard,MIA,RB,50,106,19.82,
69,Jared Cook,NO,TE,59,97,15.55,
70,J.K. Dobbins,BAL,RB,51,110,20.13,
71,Josh Allen,BUF,QB,60,104,16.50,
72,Stefon Diggs,BUF,WR,62,95,11.99,
73,Matt Breida,MIA,RB,70,94,8.26,
74,Zack Moss,BUF,RB,61,100,12.51,
75,Drew Brees,NO,QB,70,92,8.26,
76,Tyler Boyd,CIN,WR,69,95,8.71,
77,Hunter Henry,LAC,TE,59,115,25.48,
78,Will Fuller,HOU,WR,66,107,13.64,
79,Matthew Stafford,DET,QB,64,101,13.46,
80,David Montgomery,CHI,RB,42,146,41.81,
81,Jarvis Landry,CLE,WR,81,94,4.45,
82,Carson Wentz,PHI,QB,72,110,15.47,
83,A.J. Green,CIN,WR,61,119,19.03,
84,Diontae Johnson,PIT,WR,82,115,11.45,
85,Marvin Jones,DET,WR,68,124,20.17,
86,Devin Singletary,BUF,RB,45,67,7.98,
87,Julian Edelman,NE,WR,71,123,18.31,
88,Jamison Crowder,NYJ,WR,80,112,10.32,
89,Ben Roethlisberger,PIT,QB,81,115,11.53,
90,Darren Waller,LV,TE,46,185,50.60,
91,Tom Brady,TB,QB,87,137,18.80,
92,Antonio Gibson,WAS,RB,58,145,27.53,
93,Leonard Fournette,FA,RB,45,87,20.02,
94,Hayden Hurst,ATL,TE,57,157,36.06,
95,Evan Engram,NYG,TE,67,207,51.04,
96,Latavius Murray,NO,RB,75,142,21.25,
97,James White,NE,RB,51,88,13.65,
98,Sterling Shepard,NYG,WR,90,150,21.53,
99,John Brown,BUF,WR,93,132,12.56,
100,Jared Goff,LAR,QB,92,149,20.29,
101,Damien Harris,NE,RB,69,153,27.65,
102,Darius Slayton,NYG,WR,85,129,14.55,
103,Daniel Jones,NYG,QB,82,145,21.29,
104,Aaron Rodgers,GB,QB,87,146,22.01,
105,Phillip Lindsay,DEN,RB,58,94,13.80,
106,Brandin Cooks,HOU,WR,93,136,14.82,
107,Baker Mayfield,CLE,QB,99,142,14.46,
108,Tevin Coleman,SF,RB,63,111,17.84,
109,Christian Kirk,ARI,WR,103,131,9.91,
110,Mike Williams,LAC,WR,101,135,13.06,
111,Emmanuel Sanders,NO,WR,100,133,12.60,
112,Anthony Miller,CHI,WR,97,151,17.29,
113,Tarik Cohen,CHI,RB,52,119,24.42,
114,Joe Burrow,CIN,QB,86,197,39.65,
115,Rob Gronkowski,TB,TE,77,211,46.06,
116,Cam Newton,NE,QB,95,186,31.96,
117,Ryan Tannehill,TEN,QB,102,139,15.50,
118,San Francisco 49ers,SF,DST,120,149,11.09,
119,Deebo Samuel,SF,WR,116,162,16.23,
120,Mike Gesicki,MIA,TE,71,167,38.58,
121,CeeDee Lamb,DAL,WR,73,184,42.16,
122,Curtis Samuel,CAR,WR,120,144,8.98,
123,Marlon Mack,IND,RB,79,143,23.44,
124,Blake Jarwin,DAL,TE,85,231,52.85,
125,Adrian Peterson,WAS,RB,69,172,40.35,
126,Austin Hooper,CLE,TE,90,229,47.40,
127,Golden Tate,NYG,WR,118,171,19.91,
128,Duke Johnson,HOU,RB,114,205,34.20,
129,Mecole Hardman,KC,WR,126,161,12.18,
130,Tony Pollard,DAL,RB,117,159,16.83,
131,T.J. Hockenson,DET,TE,83,232,48.58,
132,Darrell Henderson,LAR,RB,81,161,32.76,
133,Noah Fant,DEN,TE,109,236,47.58,
134,Dallas Goedert,PHI,TE,113,131,7.28,
135,Kerryon Johnson,DET,RB,109,146,14.77,
136,Chris Herndon IV,NYJ,TE,92,175,33.86,
137,Alexander Mattison,MIN,RB,109,140,14.77,
138,Preston Williams,MIA,WR,110,189,27.34,
139,Kirk Cousins,MIN,QB,118,134,7.09,
140,Baltimore Ravens,BAL,DST,118,140,7.82,
141,Chicago Bears,CHI,DST,141,169,10.70,
