Rank,Player Name,Team,Position,Min,Max,STD Dev,Tier,Value,Notes
155,Buffalo Bills,BUF,DST,135,163,11.11,1,,
156,Ke'Shawn Vaughn,TB,RB,71,151,33.63,5,Low,Now behind Fournette and Ronald Jones
157,Parris Campbell,IND,WR,124,217,34.4,6,Good,Lost most of rookie season to injury.  Likely to be second in targets behind Hilton
158,Justin Tucker,BAL,K,145,166,8.35,1,,
159,Minnesota Vikings,MIN,DST,142,171,11.34,3,,
160,Philip Rivers,IND,QB,130,173,16.92,,,
161,New Orleans Saints,NO,DST,139,196,23.89,3,,
162,Henry Ruggs III,LV,WR,90,198,40.08,7,,Raiders thin at receiver.  Likely big-lay dependent
163,Derek Carr,LV,QB,127,211,32.9,,,
164,Harrison Butker,KC,K,152,174,8.64,1,,
165,Nyheim Hines,IND,RB,119,202,38.85,5,Moderate,3rd down back.
166,Kansas City Chiefs,KC,DST,152,179,10.84,,,
167,Gardner Minshew II,JAC,QB,108,248,54.12,,,
168,Wil Lutz,NO,K,158,178,8.26,1,,
169,Sony Michel,NE,RB,112,165,21.65,,,
170,Allen Lazard,GB,WR,129,205,32.78,7,,
171,Greg Zuerlein,DAL,K,154,187,11.97,2,,
172,DeAndre Washington,KC,RB,132,159,11.44,,,
173,Laviska Shenault Jr.,JAC,WR,131,190,23.14,,,
174,Jack Doyle,IND,TE,120,168,19.65,5,,
175,Greg Olsen,SEA,TE,134,153,8.18,,,
176,Eric Ebron,PIT,TE,119,163,19.67,5,,
177,New England Patriots,NE,DST,134,202,24.42,2,,
178,James Washington,PIT,WR,136,204,26.62,,,
179,Drew Lock,DEN,QB,148,269,51.68,,,
180,Justin Jackson,LAC,RB,122,213,40.94,5,Moderate,Competing with Joshua Kelley for spot behind Austin Ekeler.  More upside.
181,Denver Broncos,DEN,DST,141,208,24.24,2,,
182,Robby Anderson,CAR,WR,152,165,5.35,5,Low,"Now in Carolina, but with lots of competition for targets."
183,Ian Thomas,CAR,TE,136,204,31.37,,,
184,Sammy Watkins,KC,WR,133,179,19.91,7,Moderate,Inconsistent but in an explosive offense
185,Matt Prater,DET,K,170,199,12.82,1,,
186,Philadelphia Eagles,PHI,DST,168,195,12.38,,,
187,Robbie Gould,SF,K,165,210,16.48,2,,
188,Los Angeles Rams,LAR,DST,159,177,8.26,,,
189,N'Keal Harry,NE,WR,130,197,30.27,7,Good,Little competition for targets other than Edelman.  QB quality unknown
190,O.J. Howard,TB,TE,130,196,30.88,,,
191,Zane Gonzalez,ARI,K,174,219,16.89,3,,
192,Dallas Cowboys,DAL,DST,140,244,40.74,,,
193,Ryan Fitzpatrick,MIA,QB,153,228,26.92,,,
194,Los Angeles Chargers,LAC,DST,168,228,22.79,3,,
195,Jace Sternberger,GB,TE,137,156,9.5,,,
196,Irv Smith Jr.,MIN,TE,138,249,48.64,,,
197,Tennessee Titans,TEN,DST,167,229,22.55,,,
198,Hunter Renfrow,LV,WR,165,211,20.24,,,
199,Jake Elliott,PHI,K,178,233,22.79,3,,
200,Michael Pittman Jr.,IND,WR,141,163,11,7,Moderate,Physical.  Could be WR3 in Indy soon
201,A.J. Dillon,GB,RB,148,226,32.01,7,Moderate,Big size.  Behind Aaron Jones and Jamaal Williams.
202,Dawson Knox,BUF,TE,175,199,9.81,,,
203,Bryan Edwards,LV,WR,149,164,7.5,,,
204,Seattle Seahawks,SEA,DST,177,225,17.17,,,
205,Tyrod Taylor,LAC,QB,169,235,24.05,,,
206,Ryquell Armstead,JAC,RB,84,277,96.5,5,Good,Competing for lead back.  On COVID list.
207,Alshon Jeffery,PHI,WR,181,218,16.78,,,
208,Larry Fitzgerald,ARI,WR,174,209,14.97,7,Moderate,Limited to a slot receiver these days
209,Dan Bailey,MIN,K,172,245,28.33,,,
210,Carlos Hyde,SEA,RB,154,190,18,7,Moderate,Shoulder issue to start season.  Competing with Rashaad Penny for 2nd RB slot.
211,Matt Gay,TB,K,182,216,14.08,2,,
212,Indianapolis Colts,IND,DST,162,260,41.71,2,,
213,Chris Thompson,JAC,RB,176,219,17.68,5,Moderate,3rd down back.
214,Brandon McManus,DEN,K,188,243,23.17,,,
215,Ka'imi Fairbairn,HOU,K,192,229,14.92,3,,
216,Mohamed Sanu,NE,WR,170,184,7,7,,
217,Mason Crosby,GB,K,202,228,9.94,,,
218,Tampa Bay Buccaneers,TB,DST,166,272,45.38,,,
219,Nick Foles,CHI,QB,192,240,20.78,,,
220,Michael Badgley,LAC,K,196,213,7.79,,,
221,Giovani Bernard,CIN,RB,148,258,45.03,,,
222,Bryce Love,WAS,RB,144,219,37.5,,,
223,Jason Myers,SEA,K,176,247,26.1,,,
224,Cleveland Browns,CLE,DST,188,242,20.24,3,,
225,Jamaal Williams,GB,RB,175,222,20.89,,,
226,New York Jets,NYJ,DST,189,220,13.42,,,
227,Green Bay Packers,GB,DST,194,220,10.66,,,
228,Gerald Everett,LAR,TE,195,227,13.6,,,
229,Gus Edwards,BAL,RB,185,193,4,,,
230,Dwayne Haskins,WAS,QB,160,278,42.44,,,
231,Chris Boswell,PIT,K,182,281,36.82,2,,
232,Denzel Mims,NYJ,WR,182,199,8.5,7,Moderate,Rookie.  Could compete as top perimeter target in NYJ
233,Miles Boykin,BAL,WR,175,236,25.59,,,
234,Dede Westbrook,JAC,WR,179,203,12,,,
235,Malcolm Brown,LAR,RB,171,212,20.5,,,
236,Benny Snell Jr.,PIT,RB,169,253,34.32,,,
237,Tyrell Williams,LV,WR,186,201,7.5,,,
238,Brian Hill,ATL,RB,141,141,0,,,
239,Devonta Freeman,FA,RB,158,232,37,,,
240,Randall Cobb,HOU,WR,196,222,12.03,7,,
241,Royce Freeman,DEN,RB,162,230,34,,,
242,Steven Sims,WAS,WR,148,294,73,,,
243,Younghoe Koo,ATL,K,193,293,38.04,,,
244,C.J. Uzomah,CIN,TE,185,212,13.5,,,
245,Tyler Eifert,JAC,TE,167,334,68.86,,,
246,Auden Tate,CIN,WR,155,255,50,,,
247,Corey Davis,TEN,WR,200,204,2,,,
